# Profile data generated by Devel::NYTProf::Reader
# Version: v6.14
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Params::Filter;
0.000025,2,0.000012,use v5.36;
0.000001,1,0.000001,our $VERSION = '0.006_002';
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Params::Filter - Fast field filtering for parameter construction
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use Params::Filter;
0.000000,0,0.000000,
0.000000,0,0.000000,# Define filter rules
0.000000,0,0.000000,my @required_fields = qw(name email);
0.000000,0,0.000000,my @accepted_fields = qw(phone city state zip);
0.000000,0,0.000000,my @excluded_fields = qw(ssn password);
0.000000,0,0.000000,
0.000000,0,0.000000,# Functional interface
0.000000,0,0.000000,# Apply filter to incoming data (from web form, CLI, API, etc.)
0.000000,0,0.000000,my ($filtered_data, $status) = filter(
0.000000,0,0.000000,$incoming_params,    # Data from external source
0.000000,0,0.000000,\@required_fields,
0.000000,0,0.000000,\@accepted_fields,
0.000000,0,0.000000,\@excluded_fields,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,if ($filtered_data) {
0.000000,0,0.000000,# Success - use filtered data
0.000000,0,0.000000,process_user($filtered_data);
0.000000,0,0.000000,} else {
0.000000,0,0.000000,# Error - missing required fields
0.000000,0,0.000000,die "Validation failed: $status";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Object-oriented interface
0.000000,0,0.000000,my $user_filter = Params::Filter->new_filter({
0.000000,0,0.000000,required => ['username', 'email'],
0.000000,0,0.000000,accepted => ['first_name', 'last_name', 'phone', 'bio'],
0.000000,0,0.000000,excluded => ['password', 'ssn', 'credit_card'],
0.000000,0,0.000000,});
0.000000,0,0.000000,
0.000000,0,0.000000,# Apply same filter to multiple incoming datasets
0.000000,0,0.000000,my ($user1, $msg1) = $user_filter->apply($web_form_data);
0.000000,0,0.000000,my ($user2, $msg2) = $user_filter->apply($api_request_data);
0.000000,0,0.000000,my ($user3, $msg3) = $user_filter->apply($db_record_data);
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,C<Params::Filter> provides fast, lightweight parameter filtering that
0.000000,0,0.000000,checks only for the presence or absence of specified fields. It does B<not>
0.000000,0,0.000000,validate values - no type checking, truthiness testing, or lookups.
0.000000,0,0.000000,
0.000000,0,0.000000,This module separates field filtering from value validation:
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * **Field filtering** (this module) - Check which fields are present/absent
0.000000,0,0.000000,
0.000000,0,0.000000,=item * **Value validation** (later step) - Check if field values are correct
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,This approach handles common parameter issues:
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Subroutine signatures can become unwieldy with many parameters
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Ad-hoc argument checking is error-prone
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Validation may not catch missing inputs quickly enough
0.000000,0,0.000000,
0.000000,0,0.000000,=item * The number of fields to check multiplies validation time
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 When to Use This Module
0.000000,0,0.000000,
0.000000,0,0.000000,This module is useful when you have:
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Pre-defined filter rules (from config files, constants, database schemas)
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Known downstream input or process parameters (for APIs, method/subroutine arguments, database operations)
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Incoming data from differing sources (web forms, APIs, databases, user input)
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No guarantee that incoming data is consistent or complete
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Need to process multiple datasets with the same rules
0.000000,0,0.000000,
0.000000,0,0.000000,=item * Want to reject unwanted fields before value validation
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 When NOT to Use This Module
0.000000,0,0.000000,
0.000000,0,0.000000,If you're constructing both the filter rules B<and> the data structure at the
0.000000,0,0.000000,same point in your code, you probably don't need this module except 
0.000000,0,0.000000,during development or debugging. The module's expected use is 
0.000000,0,0.000000,to apply pre-defined rules to data that may be inconsistent or 
0.000000,0,0.000000,incomplete for its intended use. If there isn't repetition 
0.000000,0,0.000000,or an unreliable data structure, this might be overkill.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 This Module Does NOT Do Fancy Stuff
0.000000,0,0.000000,
0.000000,0,0.000000,As much as this module attempts to be versatile in usage, there are some 
0.000000,0,0.000000,B<very handy affordances it does NOT provide:>
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No regex field name matching for designating fields to require, accept, or exclude
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No conditional field designations within a filter:
0.000000,0,0.000000,C<if 'mailing_address' require 'postal_code'>.
0.000000,0,0.000000,But see C<set_required()>, C<set_accepted()>, C<set_excluded()>, 
0.000000,0,0.000000,as ways to adjust a filter's behavior - or just have alternative filters.
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No coderefs or callbacks for use when filtering
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No substitutions or changes to field names
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No built-in filter lists except null [] = none
0.000000,0,0.000000,
0.000000,0,0.000000,=item * No fields B<added> to data, EXCEPT:
0.000000,0,0.000000,
0.000000,0,0.000000,=over8
0.000000,0,0.000000,
0.000000,0,0.000000,* If the provided data resolves to a list or array with an odd number of elements, 
0.000000,0,0.000000,the LAST element is treated as a flag, set to the value 1
0.000000,0,0.000000,
0.000000,0,0.000000,* If the provided data resolves to a single non-reference scalar (probably a text string) 
0.000000,0,0.000000,the data is stored as a hashref value with the key ‘_’, and returned if '_' is
0.000000,0,0.000000,included in the `accepted` list or the list is set to `['*']` (accept all)
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000441,2,0.000220,use Exporter;
0.000003,1,0.000003,our @ISA		= qw{ Exporter  };
0.000000,1,0.000000,our @EXPORT		= qw{ filter };
0.000000,0,0.000000,
0.000000,0,0.000000,sub new_filter {
0.000000,1,0.000000,my ($class,$args) = @_;
0.000007,1,0.000007,$args = {} unless ($args and ref($args) =~ /hash/i);
0.000000,0,0.000000,my $self			= {
0.000000,0,0.000000,required	=> $args->{required} || [],
0.000000,0,0.000000,accepted	=> $args->{accepted} || [],
0.000000,0,0.000000,excluded	=> $args->{excluded} || [],
0.000001,1,0.000001,debug		=> $args->{DEBUG} || $args->{debug} || 0,
0.000000,0,0.000000,};
0.000000,1,0.000000,bless $self, __PACKAGE__;
0.000001,1,0.000001,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 OBJECT-ORIENTED INTERFACE
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 new_filter
0.000000,0,0.000000,
0.000000,0,0.000000,my $filter = Params::Filter->new_filter({
0.000000,0,0.000000,required => ['field1', 'field2'],
0.000000,0,0.000000,accepted => ['field3', 'field4', 'field5'],
0.000000,0,0.000000,excluded => ['forbidden_field'],
0.000000,0,0.000000,DEBUG    => 1,              # Optional debug mode
0.000000,0,0.000000,});
0.000000,0,0.000000,
0.000000,0,0.000000,# Empty constructor - rejects all fields by default
0.000000,0,0.000000,my $strict_filter = Params::Filter->new_filter();
0.000000,0,0.000000,
0.000000,0,0.000000,Creates a reusable filter object with predefined field rules. The filter
0.000000,0,0.000000,can then be applied to multiple datasets using the L</apply> method.
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Parameters
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * C<required> - Arrayref of names of required fields (default: [])
0.000000,0,0.000000,
0.000000,0,0.000000,=item * C<accepted> - Arrayref of names of optional fields (default: [])
0.000000,0,0.000000,
0.000000,0,0.000000,=item * C<excluded> - Arrayref of names of fields to always remove (default: [])
0.000000,0,0.000000,
0.000000,0,0.000000,=item * C<DEBUG> - Boolean to enable debug warnings (default: 0)
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Returns
0.000000,0,0.000000,
0.000000,0,0.000000,A C<Params::Filter> object
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Example
0.000000,0,0.000000,
0.000000,0,0.000000,# Create filter for user registration data
0.000000,0,0.000000,my $user_filter = Params::Filter->new_filter({
0.000000,0,0.000000,required => ['username', 'email'],
0.000000,0,0.000000,accepted => ['first_name', 'last_name', 'phone', 'bio'],
0.000000,0,0.000000,excluded => ['password', 'ssn', 'credit_card'],
0.000000,0,0.000000,});
0.000000,0,0.000000,
0.000000,0,0.000000,# Apply to multiple incoming datasets
0.000000,0,0.000000,my ($user1, $msg1) = $user_filter->apply($web_form_data);
0.000000,0,0.000000,my ($user2, $msg2) = $user_filter->apply($api_request_data);
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 apply
0.000000,0,0.000000,
0.000000,0,0.000000,my ($filtered, $status) = $filter->apply($input_data);
0.000000,0,0.000000,
0.000000,0,0.000000,Applies the filter's predefined rules to input data. This is the OO
0.000000,0,0.000000,equivalent of the L</filter> function.
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Parameters
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item * C<$input_data> - Hashref, arrayref, or scalar to filter
0.000000,0,0.000000,
0.000000,0,0.000000,=back
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Returns
0.000000,0,0.000000,
0.000000,0,0.000000,In list context: C<(hashref, status_message)> or C<(undef, error_message)>
0.000000,0,0.000000,
0.000000,0,0.000000,In scalar context: Hashref with filtered parameters, or C<undef> on failure
0.000000,0,0.000000,
0.000000,0,0.000000,=head3 Example
0.000000,0,0.000000,
0.000000,0,0.000000,my $filter = Params::Filter->new_filter({
0.000000,0,0.000000,required => ['id', 'type'],
0.000000,0,0.000000,accepted => ['name', 'value'],
0.000000,0,0.000000,});
0.000000,0,0.000000,
0.000000,0,0.000000,# Process multiple records from database
0.000000,0,0.000000,for my $record (@db_records) {
